Baseball at the 1952 Summer Olympics	/m/061fht					
Baseball at the 1936 Summer Olympics	/m/061fbm					
Baseball at the 1912 Summer Olympics	/m/061f7p			Ostermalm Athletic Grounds	Men's baseball	1912 Summer Olympics
Lacrosse at the 1932 Summer Olympics	/m/025w579				Men's Lacrosse	1932 Summer Olympics
Lacrosse at the 1948 Summer Olympics	/m/025w5rh				Men's Lacrosse	1948 Summer Olympics
Tennis at the 1984 Summer Olympics - Men's Singles	/m/0b8cjb				Men's Tennis, singles	1984 Summer Olympics
Lacrosse at the 1928 Summer Olympics	/m/025w48_				Men's Lacrosse	1928 Summer Olympics
Baseball at the 1988 Summer Olympics	/m/061ghc					
Baseball at the 1984 Summer Olympics	/m/061g80					
Curling at the 1992 Winter Olympics - Women	/m/04njn53	/m/04njncy	/m/04njn7s,/m/04njn6h,/m/04njn4p		Womenâ€™s Curling Tournament	1992 Winter Olympics
Baseball at the 1964 Summer Olympics	/m/061gkh					
Football at the 1896 Summer Olympics	/m/03cxyq9				Men's football	1896 Summer Olympics
Baseball at the 1956 Summer Olympics	/m/061fxw					
Tennis at the 1984 Summer Olympics - Women's Singles	/m/0b8cm2				Women's Tennis, singles	1984 Summer Olympics
